grapes,region,country,winery,rating
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.6
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Jaume Serra,3.5
[Primitivo],Puglia,Italien,Doppio Passo,4
"[Baga,Castelao]",Alentejano,Portugal,Esporão,3.6
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Offley,3.6
[Carménère],Rapel-dalen,Chile,Casillero del Diablo,3.6
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Pata Negra,3.3
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.7
[Tempranillo],Toro,Spanien,Matsu,3.9
[Glera (Prosecco)],Prosecco di Treviso,Italien,Maschio dei Cavalieri,3.7
"[Corvina,Rondinella,Corvinone]",Valpolicella,Italien,Zenato,3.8
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Kopke,3.7
[Verdejo],Rueda,Spanien,Marqués de Riscal,3.7
[Cabernet Sauvignon],Central Valley,Chile,Cono Sur,3.4
"[Baga,Castelao]",Alentejano,Portugal,Esporão,3.6
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Cielo e Terra,4.1
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Kopke,3.6
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Hacienda López de Haro,3.6
[Malbec],Tupungato,Argentina,Andeluna,3.6
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Bodegas Faustino,3.5
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Tenuta Castiglioni,3.6
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Offley,3.7
[Glera (Prosecco)],Prosecco di Treviso,Italien,Viticoltori Ponte,3.7
[Glera (Prosecco)],Prosecco,Italien,Villa Teresa,3.8
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6
"[Baga,Castelao]",Lissabon,Portugal,Casal Garcia,3.6
[Malbec],Mendoza,Argentina,Alamos,3.7
[Pinotage],Western Cape,Sydafrika,Spier,3.5
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Villa Cavallo,3.8
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.8
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Bodegas Cosme Palacio,3.6
"[Malvasia,Fernao Pires]",Alentejano,Portugal,Esporão,3.6
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Lan,3.7
[Viura],Rioja Alta,Spanien,El Coto,3.5
"[Shiraz/Syrah,Cabernet Sauvignon]",Stellenbosch,Sydafrika,Simonsig,3.6
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Segura Viudas,3.4
[Chenin Blanc],Stellenbosch,Sydafrika,Simonsig,3.7
"[Palomino,Moscato,Pedro Ximenez]",Jerez-Xérès-Sherry,Spanien,Sandeman,3.7
