grapes,region,country,winery,rating,price,ratings_count,name
"[Malvasia,Fiano,Catarratto Bianco]",Basilicata,Italien,Vigneti del Vulture,3.9,43.9315273307442,6929,Vigneti del Vulture Greco - Fiano Basilicata Pipoli 2021
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.3,36.85780682833624,1715,Pata Negra Valdepeñas Roble 2018
[Sauvignon Blanc],Central Valley,Chile,Santa Conchita,3,39,105,Santa Conchita Sauvignon Blanc N.V.
"[Malvasia,Fiano,Catarratto Bianco]",Nuragus di Cagliari,Italien,Cantina di Dolianova,3.4,40.95311869815137,1111,Cantina di Dolianova Dolia Nuragus di Cagliari 2020
"[Grenache,Tempranillo]",Valle del Cinca,Spanien,Nuviana,3.1,39.09161330278086,2494,Nuviana Veranza Tinto 2019
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Giuseppe,3.2,39,101,Giuseppe Bianco N.V.
[Sauvignon Blanc],Colchagua Valley,Chile,Caliterra,3.5,40.95311869815137,2704,Caliterra Reserva Sauvignon Blanc 2020
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Finca Mónica,3.4,43.9315273307442,758,Finca Mónica Tempranillo Rioja 2018
"[Trebbiano,Garganega]",Soave Classico,Italien,Cesari,3.4,45,593,Cesari Soave Classico 2019
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Roccaperciata,3.6,44.60166927307759,1367,Roccaperciata Nero d'Avola - Syrah 2020
[Chardonnay],Valle del Cinca,Spanien,Nuviana,3.6,36.85780682833624,5623,Nuviana Chardonnay 2020
[Chardonnay],Valle de Casablanca,Chile,Caliterra,3.4,43.9315273307442,2083,Caliterra Reserva Chardonnay 2020
[Pinot Grigio],delle Venezie,Italien,Villa Rocca,3.7,43.18692517259599,920,Villa Rocca Pinot Grigio 2020
"[Nebbiolo,Barbera,Dolcetto]",Piemonte,Italien,Cascina Radice,3.5,45,746,Cascina Radice Toto Rosso 2018
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Codorníu,3.3,37.25,81,Codorníu Clasico Seco N.V.
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Trentino,Italien,Scavi & Ray,2.8,33.50709711666931,80,Scavi & Ray Il Bianco N.V.
"[Nebbiolo,Barbera,Dolcetto]",Rosso Veronese,Italien,Bolla,3.5,44.60166927307759,327,Bolla Rètro Rosso Veronese 2018
"[Malvasia,Fernao Pires]",Lissabon,Portugal,Portada,3.9,44.3038284098183,8592,Portada Winemaker's Selection Branco 2021
"[Grenache,Tempranillo]",Navarra,Spanien,Bodegas Piedemonte,3.4,44.3038284098183,1012,Bodegas Piedemonte Gamma Red Blend 2020
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6,36.48550574926213,1926,Stemmari Syrah 2020
"[Nebbiolo,Barbera,Dolcetto]",Verona,Italien,Zanettini,3.6,45,191,Zanettini Parziale Appassimento Corvina 2018
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Villa Rocca,3.4,44.3038284098183,443,Villa Rocca Merlot 2019
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Gran Familia,3.6,43.18692517259599,6285,Gran Familia Tinto 2020
[Cabernet Sauvignon],Coastal Region,Sydafrika,MAN,3.5,40.95311869815137,3359,MAN Cabernet Sauvignon (Ou Kalant) 2020
"[Grenache Blanc,Bourboulenc]",Pays d'Oc,Frankrig,Paul Mas,3.7,40.95311869815137,834,Paul Mas Vermentino 2020
[Montepulciano],Montepulciano d'Abruzzo,Italien,Villa Rocca,3.5,44.3038284098183,1342,Villa Rocca Montepulciano d'Abruzzo 2020
"[Shiraz/Syrah,Grenache,Mourvedre]",Coteaux de Narbonne,Frankrig,Gérard Bertrand,3.5,39,194,Gérard Bertrand Narbo Martius Merlot 2017
"[Grenache,Tempranillo]",Navarra,Spanien,Inurrieta,3.5,43.9315273307442,1947,Inurrieta Norte Roble 2020
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,La Calla,4,39,330,La Calla Vigne Nostrane Rosso 2019
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Zabu,3.6,40.20851654000317,3181,Zabu Grillo 2021
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Casa Agricola de Compostela,3.6,44.3038284098183,659,Casa Agricola de Compostela Espigueiro 2019
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Luccarelli,3.8,43.5592262516701,15160,Luccarelli Rosso Puglia 2021
[Tempranillo],Catalunya,Spanien,Fortaleza del Rey,3,45,501,Fortaleza del Rey Tempranillo 2019
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Roccaperciata,3.4,44.15490797818866,611,Roccaperciata Inzolia - Chardonnay 2021
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Zabu,3.7,36.85780682833624,8312,Zabu Nero d'Avola 2021
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Vigneti del Salento,3.9,43.18692517259599,17224,Vigneti del Salento Negroamaro I Muri 2021
[Verdejo],Castilla,Spanien,Condesa de Leganza,3.4,39.46391438185496,1662,Condesa de Leganza Verdejo Blanco 2020
[Merlot],Central Valley,Chile,Antares,3.1,36.48550574926213,3030,Antares Merlot 2020
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Farnese,3.5,44.3038284098183,2665,Farnese Fantini Pinot Grigio 2021
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Vigneti del Salento,3.7,43.85706711492938,2747,Vigneti del Salento Puglia I Muri Bianco 2021
"[Shiraz/Syrah,Cabernet Sauvignon]",Stellenbosch,Sydafrika,Delheim,3.5,43.11519543028343,1720,Delheim Cabernet Sauvignon - Shiraz 2020
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Sella & Mosca,3.4,43.9315273307442,630,Sella & Mosca Abidoru Vermentino di Sardegna 2016
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Castel del Monte,Italien,Rivera,3.4,43.9315273307442,1630,Rivera Rupicolo Castel del Monte 2020
[Chardonnay],Californien,USA,Salmon Creek,3.4,44.3038284098183,580,Salmon Creek Chardonnay 2018
[Cabernet Franc],British Columbia,Canada,Fort Berens Estate Winery,3.8,31.99,262,Fort Berens Estate Winery Cabernet Franc 2019
[Grenache],Campo de Borja,Spanien,Borsao Bodegas,3.5,59,15867,Borsao Bodegas Selección 2019
[Grenache],Campo de Borja,Spanien,Borsao Bodegas,3.5,59,15867,Borsao Bodegas Selección 2020
[Carménère],Central Valley,Chile,Vistamar,3.3,49.95,5160,Vistamar Brisa Carmenère 2017
[Merlot],Central Valley,Chile,Santa Alicia,3.1,52,3162,Santa Alicia Merlot 2016
"[Grenache,Tempranillo]",Catalunya,Spanien,Altos d'Oliva,3.4,59,1554,Altos d'Oliva Gran Reserva 2010
[Pinot Noir],Provincia di Pavia,Italien,Amodo,3.3,56,518,Amodo Pinot Noir 2018
"[Sauvignon Blanc,Sémillon,Muscadelle]",Bordeaux,Frankrig,Château Haut Pougnan,3.4,58.33,939,Château Haut Pougnan Bordeaux Sauvignon 2020
[Zinfandel],Lodi,USA,Think-Dream-Live Big!,3.7,55,3486,Think-Dream-Live Big! The Big Vat. 66 Zinfandel 2020
"[Sangiovese,Montepulciano]",Abruzzo,Italien,Ladone,3.9,59,247,Ladone Rosso N.V.
[Tempranillo],Ribera del Duero,Spanien,Mayor de Castilla,3.3,59,2448,Mayor de Castilla Ribera del Duero Tempranillo 2020
[Shiraz/Syrah],La Mancha,Spanien,Terra Linda,4,59,5591,Terra Linda Syrah 2021
[Chardonnay],Valle de Maipo,Chile,Santa Alicia,3.1,52,1601,Santa Alicia Chardonnay 2019
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Jaume Serra,3.4,59,173,Jaume Serra Bouquet Cava Brut N.V.
[Sauvignon Blanc],Western Cape,Sydafrika,The Secretary Bird,3.4,52,1192,The Secretary Bird Sauvignon Blanc 2020
"[Baga,Castelao]",Alentejano,Portugal,Segredos de São Miguel,3.6,51,7393,Segredos de São Miguel Tinto 2021
[Merlot],Western Cape,Sydafrika,The Secretary Bird,3.4,52,1033,The Secretary Bird Merlot 2019
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,La Campagne,3.8,59,173,La Campagne Pinot Noir Rosė 2021
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Kjær Sommerfeldt,3.8,49,109,Kjær Sommerfeldt 229 Sélection Parcellaire Syrah 2020
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Barone Montalto,3.7,57,12551,Barone Montalto Acquerello Pinot Grigio 2021
[Shiraz/Syrah],Horse Heaven Hills,USA,Kjær Sommerfeldt,3.5,59,161,Kjær Sommerfeldt Rebel Syrah 2019
[Malbec],Patagonia,Argentina,Bodega del Fin del Mundo,3.3,59.95,864,Bodega del Fin del Mundo Ventus Malbec 2021
[Riesling],Rheinhessen,Tyskland,Georg Steinmetz,3.8,59,96,Georg Steinmetz Riesling Trocken 2021
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Foncalieu,3.2,55,64,Foncalieu Cuvée Héritage Côtes-du-Rhône 2014
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Casal Garcia,3.8,52.5,85262,Casal Garcia Vinho Verde N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.6,53.98365646574499,18390,Freixenet Cava Cordón Negro Brut N.V.
[Tempranillo],Valdepeñas,Spanien,Félix Solís,4,55,15604,Félix Solís The Guv’nor N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Jaume Serra,3.5,50,12929,Jaume Serra Cava Brut N.V.
[Primitivo],Puglia,Italien,Doppio Passo,4,55.47286078204141,62776,Doppio Passo Primitivo 2020
"[Baga,Castelao]",Alentejano,Portugal,Esporão,3.6,51.74984999130037,67871,Esporão Monte Velho Tinto 2016
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Offley,3.6,54.95,5906,Offley Porto Tawny (Barão de Forrester) N.V.
[Carménère],Rapel-dalen,Chile,Casillero del Diablo,3.6,59.195871572782444,79474,Casillero del Diablo Carmenere (Reserva) 2019
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Castillo Perelada,3.5,49.5,5080,Castillo Perelada Cava Brut Reserva N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Pata Negra,3.3,52.047690854559654,4328,Pata Negra Cava N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.7,59.195871572782444,4287,Freixenet Ice Cuvée Especial N.V.
"[Grenache,Tempranillo]",Vino de España,Spanien,Félix Solís,4,57.5,4211,Félix Solís Kingpin N.V.
[Tempranillo],Toro,Spanien,Matsu,3.9,58.45126941463423,60785,Matsu El Picaro 2020
[Glera (Prosecco)],Prosecco di Treviso,Italien,Maschio dei Cavalieri,3.7,53.09013387596715,3717,Maschio dei Cavalieri Prosecco Treviso Extra Dry N.V.
"[Corvina,Rondinella,Corvinone]",Valpolicella,Italien,Zenato,3.8,56.96206509833782,25275,Zenato Valpolicella Superiore 2017
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Kopke,3.7,59.9,3254,Kopke Fine Ruby Port N.V.
[Verdejo],Rueda,Spanien,Marqués de Riscal,3.7,59.195871572782444,36494,Marqués de Riscal Blanco (Verdejo) 2020
[Cabernet Sauvignon],Central Valley,Chile,Cono Sur,3.4,59,23154,Cono Sur Bicicleta Reserva Cabernet Sauvignon 2019
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Cielo e Terra,4.1,55.84516186111551,10186,Cielo e Terra Appassionante 2019
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Kopke,3.6,59.9,2653,Kopke Fine Tawny Port N.V.
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Barone Montalto,3.6,55.5,16387,Barone Montalto Acquerello Nero d'Avola 2019
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Hacienda López de Haro,3.6,50.63294675407806,27945,Hacienda López de Haro Crianza 2018
[Malbec],Tupungato,Argentina,Andeluna,3.6,55,18683,Andeluna 1300 Malbec 2018
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Bodegas Faustino,3.5,48.02683920055934,48103,Bodegas Faustino VII Tempranillo 2020
